"Rule ID","Link","Link","Link","Link","Link","Title","Body","Title","Body"
"hibernate-xml-01000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6/html/Migration_Guide/Migrate_Your_Hibernate_3.5.x_Application_to_Hibernate_4.x.html","","","","","Hibernate: Deprecated 'string' CLOB data type","In versions of Hibernate prior to 3.5, text type was mapped to JDBC CLOB. A new Hibernate type, `materialized_clob`, was added in Hibernate 4 to map Java `String` properties to JDBC CLOB",""
"hibernate-xml-02000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6/html/Migration_Guide/Migrate_Your_Hibernate_3.5.x_Application_to_Hibernate_4.x.html","","","","","hibernate.jdbc.use_streams_for_binary must be set according to the provider","
                        If you are using Oracle and using the ```materialized_clob``` or ```materialized_blob``` properties, this global environment variable must be set to true. 
			If you are using PostgreSQL and using the CLOB or BLOB properties, this global environment variable  must be set to false. 
                    ",""
"hibernate-xml-03000","","","","","","Hibernate: Removed package org.hibernate.connection","From Hibernate 4.0 there were moved classes from package org.hibernate.connection to package org.hibernate.service.jdbc.connections.internal.
                     You should change your Hibernate setup to replace references to the old package names.
                     ",""
"hibernate-xml-04000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6/html/Migration_Guide/Migrate_Your_Hibernate_3.5.x_Application_to_Hibernate_4.x.html","","","","","Hibernate: Deprecated dtd configuration namespace"," Hibernate 4.0 uses http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd instead.
                     ",""
"hibernate-xml-05000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6/html/Migration_Guide/Migrate_Your_Hibernate_3.5.x_Application_to_Hibernate_4.x.html","","","","","Hibernate: Deprecated dtd mapping namespace"," Hibernate 4.0 uses http://www.hibernate.org/dtd/hibernate-mapping-3.0.dtd instead.
                     ",""
"hibernate-01000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6.1/html/Migration_Guide/Migrate_Your_Hibernate_33x_Application_to_Hibernate_4x.html","","","","","@Type(type=text) is deprecated in Hibernate 4","
                         In versions of Hibernate prior to 3.5, text type was mapped to JDBC CLOB. A new Hibernate type, materialized_clob, was added in Hibernate 4 to map Java String properties to JDBC CLOB. Therefore, Hibernate 4 text LOB type definitions should be defined using `@Lob`, instead.
                     ",""
"hibernate-02000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6.1/html/Migration_Guide/Migrate_Your_Hibernate_33x_Application_to_Hibernate_4x.html","","","","","Hibernate 4 projection return types","
                         The return types of the numeric aggregate criteria projections has changed to Long in hibernate 4. This change may introduce conflicts in the code.
                     ",""
"hibernate-03000","https://access.redhat.com/documentation/en-US/JBoss_Enterprise_Application_Platform/6/html/Migration_Guide/Migrate_Your_Hibernate_3.5.x_Application_to_Hibernate_4.x.html","","","","","The initial naming strategy was changed from DefaultNamingStrategy to EJB3NamingStrategy in Hibernate 4","
                         The initial/default naming strategy in Hibernate 4 was changed from DefaultNamingStrategy to EJB3NamingStrategy. This can result in naming mismatches. If you rely on the naming strategy, call Configuration#setNamingStrategy.
                     ",""
"hibernate-04000","https://developer.jboss.org/wiki/HibernateCoreMigrationGuide40","","","","","The removed classes in org.hibernate.classic package","The deprecated classes in org.hibernate.classic package was removed in Hibernate 4.",""
"hibernate-05000","","","","","","Replace class org.hibernate.dialect.resolver.DialectResolver","Replace org.hibernate.dialect.resolver.DialectResolver with org.hibernate.service.jdbc.dialect.spi.DialectResolver.",""
"hibernate-06000","","","","","","Replace class org.hibernate.jdbc.BatcherFactory and its implementations","Replace org.hibernate.jdbc.BatcherFactory by org.hibernate.engine.jdbc.batch.spi.BatchBuilder.
                  Their default implementations are in org.hibernate.engine.jdbc.batch.internal. 
                  You can override the default BatchBuilder by defining the  ""hibernate.jdbc.batch.builder"" property as the name of a BatchBuilder implementation
                   or by providing a BatchBuilder in a custom ServiceRegistry.
                  ",""
"hibernate-07000","","","","","","Replace class org.hibernate.jdbc.Batcher and its implementations","Replace org.hibernate.jdbc.Batcher by org.hibernate.engine.jdbc.batch.spi.Batch.
                  Their default implementations are in org.hibernate.engine.jdbc.batch.internal. 
                  ",""
"hibernate-08000","","","","","","Replace class org.hibernate.engine.SessionImplementor","Replace org.hibernate.engine.SessionImplementor with org.hibernate.engine.spi.SessionImplementor
               ",""
"hibernate-09000","","","","","","Replace class org.hibernate.connection.{classname}","The classes in org.hibernate.connection package was moved to org.hibernate.service.jdbc.connections.internal in Hibernate 4",""
"hibernate-10000","","","","","","Replace class org.hibernate.collection.PersistentBag","The class org.hibernate.collection.PersistentBag was moved to org.hibernate.collection.internal.PersistentBag in Hibernate 4",""
"hibernate-10100","https://developer.jboss.org/wiki/Hibernate3MigrationGuides","","","","","Hibernate type reference net.sf.hibernate.{classname}","
                  This is an old Hibernate package name from version 2.x and needs to be migrated to a compatible API to Hibernate 4.x/5.x,
                  where package name is org.hibernate.
               ","Hibernate 2.x",""
"soa-p-5-01000","https://github.com/windup/soa-migration/blob/master/advice/action-class-migration.md","","","","","JBoss ESB 5 Action Handler","
                            
                                Custom action classes should be migrated to CDI Beans in Fuse Service Works. These beans can be defined as services or called directly from a Camel route.

                                For more information, see the [Action Class Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/action-class-migration.md).
                            
                        ","JBoss ESB 5 Action Handler","
                            
                                Custom action classes should be migrated to CDI Beans in Fuse Service Works. These beans can be defined as services or called directly from a Camel route.
                            
                        "
"soa-p-5-02000","","","","","","JBoss ESB Deployment Descriptor","",""
"soa-p-5-03000","https://github.com/windup/soa-migration/blob/master/advice/action-pipeline-migration.md","","","","","JBoss ESB Pipeline Configuration","",""
"soa-p-5-04000","https://access.redhat.com/documentation/en-US/Red_Hat_JBoss_Fuse_Service_Works/6.0/html/Development_Guide_Volume_2_Smooks/","","","","","Smooks Configuration","",""
"soa-p-5-05000","","","","","","JMS Gateway Listener","
                            
                                This listener requires a composite service binding in Fuse Service Works. The configuration for a JCA or JMS binding can be found in the jms-bus definition
                                associated with this listener.

                                For additional information, see the
                                [Gateway Listener Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/gateway-listener-migration.md).
                            
                        ",""
"soa-p-5-06000","","","","","","ESB-Aware Listener (non-gateway)","An ESB-aware listener is no longer required in Fuse Service Works.",""
"soa-p-5-07000","","","","","","JBoss SOA-P Service","
                        
                            Each <service> definition in SOA-P 5 represents a service which can be
                            called from outside the application through an ESB listner.  The
                            equivalent definition in Fuse Service Works is a composite service.

                            For additional information, see the
                            [Service Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/service-migration.md).
                        
                    ",""
"soa-p-5-08000","","","","","","JBoss SOA-P Action Pipeline","
                        
                            The logic and execution flow of a service in SOA-P 5 is defined in an
                            action processing pipeline. This logic is
                            contained within a service component definition and expressed
                            using any of the available implementation types in Fuse Service Works.

                            For additional information see: the [Action Pipeline Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/action-pipeline-migration.md)
                        
                    ",""
"soa-p-5-09000","","","","","","Service Binding: Hibernate Bus","
                        
                            Although Camel has both Hibernate and JPA components that are
                            useful in consuming records, there isn't any support for Hibernate events.

                            To migrate this to SwitchYard you may have to
                            build a custom SwitchYard component using Hibernate
                            listeners, or redesign your requirements to leverage the
                            existing Camel components available (Hibernate/JPA/SQL)
                            in this area.
                        
                    ",""
"soa-p-5-10000","","","","","","JMS Bus Definition","
                        
                            A jms-bus definition can be converted to a JMS or JCA gateway
                            binding on a composite service in SwitchYard. If the jms-bus
                            configuration is used for a non-gateway listener, it does not
                            need to be migrated to Fuse Service Works.

                            For additional information, see the
                            [JMS Bus Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/jms-bus-migration.md).
                        
                    ",""
"soa-p-5-11000","","","","","","FTP Bus Definition","
                        
                            A ftp-bus definition can be converted to a FTP gateway
                            binding on a composite service in SwitchYard.

                            For additional information, see the
                            [FTP Bus Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/ftp-bus-migration.md).
                        
                    ",""
"soa-p-5-12000","","","","","","Camel Bus Definition","
                        
                            A camel-bus definition can be converted to a Camel gateway
                            binding on a composite service in SwitchYard.

                            For additional information, see the
                            [Camel Bus Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/camel-bus-migration.md)
                        
                    ",""
"soa-p-5-13000","https://access.redhat.com/documentation/en-US/Red_Hat_JBoss_Fuse_Service_Works/6.0/html/Development_Guide_Volume_1_SwitchYard/chap-Gateways.html#sect-TCP_UDP","","","","","UDP Listener Configuration","
                        
                            A UDP Listener definition can be converted to a TCP/UDP
                            gateway binding on a composite service in SwitchYard.
                        
                    ",""
"soa-p-5-14000","https://access.redhat.com/documentation/en-US/Red_Hat_JBoss_Fuse_Service_Works/6.0/html/Development_Guide_Volume_1_SwitchYard/chap-Gateways.html#sect-JCA","","","","","JMS JCA Provider","
                        
                            A jms-jca-provider definition can be converted to a JCA
                            gateway binding on a composite service in Fuse Service Works.
                        
                    ",""
"soa-p-5-15000","","","","","","HTTP Provider","
                        
                            A http-provider definition can be converted to a HTTP gateway
                            binding on a composite service in Fuse Service Works.

                            For additional information, see the
                            [Gateway Listener Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/gateway-listener-migration.md).
                        
                    ",""
"soa-p-16000","","","","","","Cron Schedule","
                        
                            A cron-schedule definition can be converted to a Quartz
                            gateway binding on a composite service in Fuse Service Works.

                            For additional information, see the
                            [Cron Scheduler Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/cron-schedule-migration.md).
                        
                    ",""
"soa-p-17000","","","","","","FTP Gateway Listener","
                        
                            This listener requires a composite service binding in Fuse Service Works. The configuration for a FTP binding
                            can be found in the ftp-bus definition associated with this listener.

                            For additional information, see the
                            [Gateway Listener Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/gateway-listener-migration.md).
                        
                    ",""
"soa-p-18000","","","","","","Camel Gateway Listener","
                        
                            This gateway requires a composite service binding in Fuse Service Works.
                            The configuration for a Camel binding can be found in the camel-bus definition associated
                            with this listener.

                            For additional information, see the
                            [Gateway Listener Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/gateway-listener-migration.md).
                        
                    ",""
"soa-p-19000","","","","","","HTTP Gateway Listener","
                        
                            A <http-gateway> can be replaced in Fuse Service Works by a http binding added to your composite service.

                            For additional information, see the
                            [HTTP Gateway Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/http-gateway-migration.md).
                        
                    ",""
"soa-p-20000","","","","","","Smooks Transformation Action","
                        
                            Fuse Service Works uses a <transform> to replace the invocation
                            of as SmooksAction to transform message content. You most likely will want to use a Smooks transform
                            to specify your Smooks configuration and from/to types.

                            For additional information, see the
                            [Transformation Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/transformation-migration.md).
                        
                    ",""
"soa-p-21000","","","","","","Smooks Config","
                        
                            In a Fuse Service Works Smooks transform, you can specify your Smooks configuration with the &quot;config&quot; attribute.

                            For additional information, see the
                            [Transformation Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/transformation-migration.md).
                        
                    ",""
"soa-p-22000","","","","","","Smooks Result Type","
                        
                            Fuse Service Works uses a <transform> to replace the invocation of as SmooksAction
                            to transform message content. You most likely will want to use a Smooks transform
                            to specify your Smooks configuration and from/to types.

                            For additional information, see the
                            [Transformation Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/transformation-migration.md).
                        
                    ",""
"soa-p-23000","","","","","","ESB SOAP Proxy","
                        
                            Instead of the JBoss ESB SOAPProxy action which transforms a specified WSDL and rewrites the address to the JBoss ESB server,
                            Fuse Service Works relies on Camel's routing capability to forward requests from a proxying service to the source.
                            Create a proxy service and a reference to the original service, and then use Camel to route them.

                            For additional information, see the
                            [SOAPProxy Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/soap-proxy.md).
                        
                    ",""
"soa-p-24000","","","","","","ESB SystemPrintln Action","
                        
                            In order to log your message (or a static logging message), you may want to create a Bean service which logs the message in the manner you wish, or you can use Camel routing to log static
                            logging messages.

                            For additional information, see the
                            [Action Class Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/action-class-migration.md).
                        
                    ",""
"soa-p-25000","","","","","","ESB Static Router","
                        
                            In order to configure static routes for your message in
                            Fuse Service Works, you should use Camel's routing (either through Java DSL routes or route.xml).

                            For additional information, see the
                            [Action Class Migration Guide](https://github.com/windup/soa-migration/blob/master/advice/action-class-migration.md).
                        
                    ",""
